date,source,n_pairs,n_keep_open,n_reduce_only,gross_sum,gross_b4,n_b4,n_held_in,n_screened,edge_source,n_edge_fallback,ok,error
2026-03-31,prod_replay,105,0,28,4800000.0,115000.0,1,2,388,net_decay_annual,388,True,
2026-04-01,prod_replay,141,0,20,4679361.9976760205,948.4175702689496,2,1,389,net_decay_annual,388,True,
2026-04-02,prod_replay,138,0,20,4681489.380745017,941.24771910906,2,2,389,net_decay_annual,388,True,
2026-04-03,prod_replay,137,0,20,4691205.297723452,6205.297723451123,5,2,393,net_decay_annual,392,True,
2026-04-04,prod_replay,137,0,20,4691205.2977158185,6205.297715817978,5,5,393,net_decay_annual,392,True,
2026-04-07,prod_replay,141,0,13,4691045.477362473,6437.9933442915435,5,5,396,net_decay_annual,392,True,
2026-04-08,prod_replay,147,0,14,4691368.205994401,6446.031288289364,5,5,396,net_decay_annual,392,True,
2026-04-09,prod_replay,140,0,12,4671153.568885672,4905.087497041782,4,5,396,net_decay_annual,392,True,
2026-04-10,prod_replay,140,0,15,4674577.114108494,6457.131106514677,5,4,396,net_decay_annual,395,True,
2026-04-11,prod_replay,141,0,16,4667333.546405893,4798.583834628505,4,5,399,net_decay_annual,398,True,
2026-04-14,prod_replay,143,0,19,4675274.16409772,4806.234359968537,4,4,399,net_decay_annual,398,True,
2026-04-15,prod_replay,129,0,14,4690367.91359123,6558.703333054889,5,4,399,net_decay_annual,398,True,
2026-04-16,prod_replay,129,0,15,4673296.21050995,4801.944727663272,4,5,398,net_decay_annual,397,True,
2026-04-17,archived_proposed_fallback,259,0,17,3746529.9349503247,1871529.9349503247,8,8,0,archived_proposed_trades,0,True,plan-only archive (no screened CSV)
2026-04-18,archived_proposed_fallback,258,0,18,3746529.9349503247,1871529.9349503247,8,8,0,archived_proposed_trades,0,True,plan-only archive (no screened CSV)
2026-04-20,archived_proposed_fallback,287,0,18,3745864.8485947917,1870864.8485947915,14,14,0,archived_proposed_trades,0,True,plan-only archive (no screened CSV)
2026-04-21,archived_proposed_fallback,290,0,18,3737224.837551253,1862224.8375512536,15,15,0,archived_proposed_trades,0,True,plan-only archive (no screened CSV)
2026-04-22,prod_replay,158,0,19,4693473.6496784985,8492.359101258191,6,4,444,net_decay_annual,440,True,
2026-04-23,archived_proposed_fallback,245,0,19,2500000.0,0.0,0,0,0,archived_proposed_trades,0,True,plan-only archive (no screened CSV)
2026-04-24,archived_proposed_fallback,241,0,17,2500000.0,0.0,0,0,0,archived_proposed_trades,0,True,plan-only archive (no screened CSV)
2026-04-25,prod_replay,160,0,6,4216591.093152566,115000.00000000001,10,6,421,net_edge_p50_annual,0,True,
2026-04-26,prod_replay,161,0,6,4108389.7697879653,114637.13789575249,10,10,419,net_edge_p50_annual,0,True,
2026-04-27,prod_replay,161,0,6,3530010.882641157,113174.33054812328,8,10,420,net_edge_p50_annual,0,True,
2026-04-28,archived_proposed_fallback,254,0,5,2500000.0000000005,0.0,0,0,0,archived_proposed_trades,0,True,plan-only archive (no screened CSV)
2026-04-29,archived_proposed_fallback,252,0,2,2500000.0,0.0,0,0,0,archived_proposed_trades,0,True,plan-only archive (no screened CSV)
2026-04-30,archived_proposed_fallback,258,0,4,2500000.0,0.0,0,0,0,archived_proposed_trades,0,True,plan-only archive (no screened CSV)
2026-05-01,archived_proposed_fallback,209,0,38,2500000.0,0.0,0,0,0,archived_proposed_trades,0,True,plan-only archive (no screened CSV)
2026-05-02,archived_proposed_fallback,210,0,38,2500000.0,0.0,0,0,0,archived_proposed_trades,0,True,plan-only archive (no screened CSV)
2026-05-03,archived_proposed_fallback,209,0,39,2500000.0000000005,0.0,0,0,0,archived_proposed_trades,0,True,plan-only archive (no screened CSV)
2026-05-04,archived_proposed_fallback,219,0,37,2500000.0000000005,0.0,0,0,0,archived_proposed_trades,0,True,plan-only archive (no screened CSV)
2026-05-05,archived_proposed_fallback,230,0,39,2500000.0,0.0,0,0,0,archived_proposed_trades,0,True,plan-only archive (no screened CSV)
2026-05-06,archived_proposed_fallback,233,0,35,2500000.0,0.0,0,0,0,archived_proposed_trades,0,True,plan-only archive (no screened CSV)
2026-05-07,archived_proposed_fallback,232,0,37,2500000.0,0.0,0,0,0,archived_proposed_trades,0,True,plan-only archive (no screened CSV)
2026-05-08,archived_proposed_fallback,234,0,38,2500000.0,0.0,0,0,0,archived_proposed_trades,0,True,plan-only archive (no screened CSV)
2026-05-09,archived_proposed_fallback,234,0,38,2500000.0,0.0,0,0,0,archived_proposed_trades,0,True,plan-only archive (no screened CSV)
2026-05-11,archived_proposed_fallback,246,0,43,2985008.8253023606,208508.2516029302,10,10,0,archived_proposed_trades,0,True,plan-only archive (no screened CSV)
2026-05-12,archived_proposed_fallback,249,0,45,2964176.4445111398,208217.3775184317,12,12,0,archived_proposed_trades,0,True,plan-only archive (no screened CSV)
2026-05-13,archived_proposed_fallback,242,0,83,330282.7681931632,16682.76819316318,9,9,0,archived_proposed_trades,0,True,plan-only archive (no screened CSV)
2026-05-14,archived_proposed_fallback,244,0,87,2621629.4753801106,163398.19490549172,8,8,0,archived_proposed_trades,0,True,plan-only archive (no screened CSV)
2026-05-15,archived_proposed_fallback,246,0,81,1950136.9889938524,59634.00001525879,11,11,0,archived_proposed_trades,0,True,plan-only archive (no screened CSV)
2026-05-16,archived_proposed_fallback,239,0,85,1982836.9253062648,64000.0,10,10,0,archived_proposed_trades,0,True,plan-only archive (no screened CSV)
2026-05-18,archived_proposed_fallback,235,0,87,2298556.5046077003,64000.00000000001,12,12,0,archived_proposed_trades,0,True,plan-only archive (no screened CSV)
2026-05-19,archived_proposed_fallback,239,0,74,287030.8173740312,6400.000000000001,12,12,0,archived_proposed_trades,0,True,plan-only archive (no screened CSV)
2026-05-20,archived_proposed_fallback,252,0,62,2197098.6875801994,65999.99999999997,11,11,0,archived_proposed_trades,0,True,plan-only archive (no screened CSV)
2026-05-21,archived_proposed_fallback,248,0,57,2200591.748046066,65999.99999999999,12,12,0,archived_proposed_trades,0,True,plan-only archive (no screened CSV)
2026-05-22,archived_proposed_fallback,238,0,74,2216442.1639727633,60465.00012874603,10,10,0,archived_proposed_trades,0,True,plan-only archive (no screened CSV)
2026-05-23,archived_proposed_fallback,233,0,78,2159632.11340764,60540.00005722045,10,10,0,archived_proposed_trades,0,True,plan-only archive (no screened CSV)
2026-05-24,archived_proposed_fallback,234,0,78,2162532.1357694985,60540.00005722045,10,10,0,archived_proposed_trades,0,True,plan-only archive (no screened CSV)
2026-05-25,archived_proposed_fallback,231,0,78,2156270.414722611,60540.00005722046,11,11,0,archived_proposed_trades,0,True,plan-only archive (no screened CSV)
2026-05-26,archived_proposed_fallback,240,0,65,2313704.406004214,66000.0,11,11,0,archived_proposed_trades,0,True,plan-only archive (no screened CSV)
2026-05-27,archived_proposed_fallback,240,0,73,2174367.57000144,66000.0,11,11,0,archived_proposed_trades,0,True,plan-only archive (no screened CSV)
2026-05-28,archived_proposed_fallback,234,0,97,1937248.397080582,59300.00004768371,11,11,0,archived_proposed_trades,0,True,plan-only archive (no screened CSV)
2026-05-29,archived_proposed_fallback,243,0,88,1955915.0772180767,65999.99999999997,10,10,0,archived_proposed_trades,0,True,plan-only archive (no screened CSV)
2026-05-30,archived_proposed_fallback,235,0,92,2367144.41161189,65999.99999999999,11,11,0,archived_proposed_trades,0,True,plan-only archive (no screened CSV)
2026-06-01,archived_proposed_fallback,245,0,81,2033024.1492871055,66000.0,10,10,0,archived_proposed_trades,0,True,plan-only archive (no screened CSV)
2026-06-02,archived_proposed_fallback,242,0,91,1822344.6231956093,50709.399890899665,10,10,0,archived_proposed_trades,0,True,plan-only archive (no screened CSV)
2026-06-03,archived_proposed_fallback,250,0,87,1875730.059364147,56471.0000038147,10,10,0,archived_proposed_trades,0,True,plan-only archive (no screened CSV)
2026-06-04,archived_proposed_fallback,245,0,77,2124646.162233953,66000.0,9,9,0,archived_proposed_trades,0,True,plan-only archive (no screened CSV)
2026-06-05,archived_proposed_fallback,250,0,76,2202335.469614146,66000.00000000001,12,12,0,archived_proposed_trades,0,True,plan-only archive (no screened CSV)
2026-06-06,archived_proposed_fallback,241,0,90,2395917.053361078,65999.99999999999,12,12,0,archived_proposed_trades,0,True,plan-only archive (no screened CSV)
2026-06-09,archived_proposed_fallback,251,0,69,1986618.451555675,64225.38515623923,13,13,0,archived_proposed_trades,0,True,plan-only archive (no screened CSV)
2026-06-10,archived_proposed_fallback,251,0,68,1998804.100616593,65999.99999999999,13,13,0,archived_proposed_trades,0,True,plan-only archive (no screened CSV)
2026-06-11,archived_proposed_fallback,253,0,59,2091672.9804645332,66000.0,13,13,0,archived_proposed_trades,0,True,plan-only archive (no screened CSV)
2026-06-12,archived_proposed_fallback,257,0,59,2209275.689952206,67999.99999999999,13,13,0,archived_proposed_trades,0,True,plan-only archive (no screened CSV)
2026-06-13,archived_proposed_fallback,246,0,72,2181066.352460035,68000.0,12,12,0,archived_proposed_trades,0,True,plan-only archive (no screened CSV)
2026-06-14,archived_proposed_fallback,251,0,65,2208448.6951816543,67999.99999999999,12,12,0,archived_proposed_trades,0,True,plan-only archive (no screened CSV)
2026-06-16,archived_proposed_fallback,254,0,83,2188392.6591911823,68000.0,13,13,0,archived_proposed_trades,0,True,plan-only archive (no screened CSV)
2026-06-17,archived_proposed_fallback,254,0,80,2166284.304700611,68000.00000000001,14,14,0,archived_proposed_trades,0,True,plan-only archive (no screened CSV)
2026-06-18,archived_proposed_fallback,254,0,91,1945399.5117083015,68000.0,13,13,0,archived_proposed_trades,0,True,plan-only archive (no screened CSV)
2026-06-19,archived_proposed_fallback,253,0,84,2127879.4545430844,68000.0,14,14,0,archived_proposed_trades,0,True,plan-only archive (no screened CSV)
2026-06-20,archived_proposed_fallback,254,0,87,2129969.2865846646,68000.0,15,15,0,archived_proposed_trades,0,True,plan-only archive (no screened CSV)
2026-06-22,archived_proposed_fallback,256,0,76,2377188.7890038276,71249.52726798496,14,14,0,archived_proposed_trades,0,True,plan-only archive (no screened CSV)
2026-06-23,archived_proposed_fallback,260,0,83,2229447.9323757906,70771.30960343534,13,13,0,archived_proposed_trades,0,True,plan-only archive (no screened CSV)
2026-06-24,archived_proposed_fallback,241,0,110,2306758.1829370824,97277.72362971675,13,13,0,archived_proposed_trades,0,True,plan-only archive (no screened CSV)
2026-06-25,prod_replay,179,0,80,3279239.516402172,85758.0387302048,11,8,453,net_edge_p50_annual,0,True,
2026-06-26,archived_proposed_fallback,235,0,107,2561556.3561156783,107599.20293707213,9,9,0,archived_proposed_trades,0,True,plan-only archive (no screened CSV)
2026-06-27,archived_proposed_fallback,233,0,105,2482750.596092183,109108.0377591148,9,9,0,archived_proposed_trades,0,True,plan-only archive (no screened CSV)
2026-06-29,archived_proposed_fallback,237,0,130,2902045.1211597607,112333.56142424465,10,10,0,archived_proposed_trades,0,True,plan-only archive (no screened CSV)
2026-06-30,prod_replay,173,0,154,3055626.2608120106,111737.5465495904,10,11,540,net_edge_p50_annual,0,True,
2026-07-01,prod_replay,185,0,119,3160834.041600683,116799.67097055694,11,10,540,net_edge_p50_annual,0,True,
2026-07-02,prod_replay,185,0,116,3426466.473324902,126084.43133121952,10,11,540,net_edge_p50_annual,0,True,
2026-07-03,prod_replay,180,0,122,3434917.663889409,131237.64152945668,8,10,540,net_edge_p50_annual,0,True,
2026-07-04,prod_replay,180,0,123,3443251.27266646,139540.63483425937,8,8,540,net_edge_p50_annual,0,True,
2026-07-05,prod_replay,179,0,123,3443585.890567643,139582.30647144854,8,8,540,net_edge_p50_annual,0,True,
2026-07-06,prod_replay,183,0,114,3301102.8655578718,139235.99207511483,11,8,540,net_edge_p50_annual,0,True,
2026-07-07,prod_replay,186,0,120,3558996.831667821,135868.84522761017,12,11,548,net_edge_p50_annual,0,True,
2026-07-08,prod_replay,186,0,122,3269739.0429342454,128881.97605420329,12,12,547,net_edge_p50_annual,0,True,
2026-07-09,prod_replay,186,0,123,3293002.6481584497,133080.14449041808,12,12,547,net_edge_p50_annual,0,True,
2026-07-10,prod_replay,190,0,118,3448613.136814541,127293.74751901826,13,12,550,net_edge_p50_annual,0,True,
2026-07-11,prod_replay,191,0,117,3452222.8082418726,129511.75163973824,13,13,550,net_edge_p50_annual,0,True,
2026-07-13,prod_replay,190,0,115,3322882.7448480707,124215.80350139944,14,13,550,net_edge_p50_annual,0,True,
2026-07-14,prod_replay,189,0,119,3487062.6945211296,174840.4510771671,13,14,557,net_edge_p50_annual,0,True,
2026-07-15,prod_replay,191,0,117,3402381.8036336964,189084.13687724943,13,13,562,net_edge_p50_annual,0,True,
2026-07-16,prod_replay,192,0,119,3453054.8861519094,209012.58954542075,12,13,562,net_edge_p50_annual,0,True,
2026-07-17,prod_replay,192,0,108,3330145.3671557717,225267.5371972279,13,12,562,net_edge_p50_annual,0,True,
2026-07-18,prod_replay,190,0,113,3350562.663189492,253365.60859247285,11,13,564,net_edge_p50_annual,0,True,
2026-07-19,prod_replay,192,0,108,3346901.1351123685,250593.85794584017,12,11,564,net_edge_p50_annual,0,True,
2026-07-20,prod_replay,190,0,108,3424161.151421943,252896.97618212583,12,12,564,net_edge_p50_annual,0,True,
